0.0427	7.82794	540
0.0429	7.80494	540
0.0431	7.78209	540
0.0433	7.75936	540
0.0435	7.73677	540
0.0437	7.71462	542.5
0.0439	7.6927	542.5
0.0441	7.6709	542.5
0.0443	7.64922	542.5
0.0445	7.62766	542.5
0.0447	7.60623	542.5
0.0449	7.58491	542.5
0.0451	7.56372	542.5
0.0453	7.54264	542.5
0.0455	7.52168	542.5
0.0457	7.50084	542.5 (I give number 42 to it, run the simulation in ratpac folder 3)
0.0459	7.48011	542.5
0.0461	7.4595	542.5
0.0463	7.439	542.5
0.0465	7.41861	542.5
0.0467	7.39833	542.5
0.0469	7.37816	542.5
0.0471	7.35811	542.5
0.0473	7.33816	542.5
0.0475	7.31832	542.5
0.0477	7.29858	542.5
0.0479	7.27896	542.5
0.0481	7.25943	542.5
0.0483	7.24002	542.5
0.0485	7.2207	542.5
0.0487	7.20149	542.5
0.0489	7.18238	542.5
0.0491	7.16338	542.5
0.0493	7.14447	542.5
0.0495	7.12566	542.5
0.0497	7.10695	542.5
0.0499	7.08834	542.5
0.0501	7.06982	542.5
0.0503	7.05141	542.5
0.0505	7.03308	542.5
0.0507	7.01486	542.5   (I give number 41 to it, run the simulation in ratpac folder 2)
0.0509	6.99672	542.5
0.0511	6.97869	542.5
0.0513	6.96074	542.5
0.0515	6.94288	542.5
0.0517	6.92512	542.5
0.0519	6.90745	542.5
0.0521	6.88987	542.5
0.0523	6.87237	542.5
0.0525	6.85497	542.5
0.0527	6.83765	542.5
0.0529	6.82042	542.5
0.0531	6.80328	542.5
0.0533	6.78622	542.5
0.0535	6.76925	542.5
0.0537	6.75236	542.5
0.0539	6.73556	542.5
0.0541	6.71884	542.5
0.0543	6.70221	542.5
0.0545	6.68565	542.5
0.0547	6.66918	542.5
0.0549	6.65279	542.5
0.0551	6.63648	542.5
0.0553	6.62136	565
0.0555	6.60762	565
0.0557	6.59394	565
0.0559	6.58032	565
0.0561	6.56675	565
0.0563	6.55323	565
0.0565	6.53978	565
0.0567	6.52637	565
0.0569	6.51303	565
0.0571	6.49973	565    simulated order 8
0.0573	6.48649	565
0.0575	6.47331	565
0.0577	6.46018	565
0.0579	6.4471	565
0.0581	6.43407	565
0.0583	6.4211	565
0.0585	6.40818	565
0.0587	6.39531	565
0.0589	6.38249	565
0.0591	6.36972	565
0.0593	6.35701	565
0.0595	6.34434	565
0.0597	6.33173	565
0.0599	6.31917	565
