199	0.458	1.3598	582.5
200	0.46	1.35468	582.5
201	0.462	1.34959	582.5
202	0.464	1.34455	582.5
203	0.466	1.33954	582.5
204	0.468	1.33457	582.5
205	0.47	1.32964	582.5
206	0.472	1.32482	585
207	0.474	1.32004	585
208	0.476	1.3153	585
209	0.478	1.31059	585
210	0.48	1.30591	585
211	0.482	1.30127	585
212	0.484	1.29666	585
213	0.486	1.29208	585
214	0.488	1.28845	645
215	0.49	1.28538	645
216	0.492	1.28234	645
217	0.494	1.2793	645
218	0.496	1.27628	645
219	0.498	1.27328	645
220	0.5	1.27029	645
221	0.502	1.26731	645
222	0.504	1.26435	645
223	0.506	1.2614	645
224	0.508	1.25847	645
225	0.51	1.25554	645
226	0.512	1.25264	645
227	0.514	1.24974	645
228	0.516	1.24686	645
229	0.518	1.24399	645
230	0.52	1.24114	645
231	0.522	1.2383	645
232	0.524	1.23547	645
233	0.526	1.23265	645
234	0.528	1.22985	645
235	0.53	1.22706	645
236	0.532	1.22428	645
237	0.534	1.22154	650
238	0.536	1.21887	650
239	0.538	1.21621	650
240	0.54	1.21357	650
241	0.542	1.21093	650
242	0.544	1.20831	650
243	0.546	1.2057	650
244	0.548	1.2031	650
245	0.55	1.20051	650
246	0.552	1.19793	650
247	0.554	1.19536	650
248	0.556	1.19281	650
249	0.558	1.19026	650
250	0.56	1.18773	650
251	0.562	1.18521	650
252	0.564	1.18269	650
253	0.566	1.18019	650
254	0.568	1.1777	650
255	0.57	1.17522	650
256	0.572	1.17275	650
257	0.574	1.17029	650
258	0.576	1.16784	650
259	0.578	1.1654	650
260	0.58	1.16297	650
261	0.582	1.16055	650
262	0.584	1.15814	650
263	0.586	1.15574	650
264	0.588	1.15335	650
265	0.59	1.15097	650
266	0.592	1.1486	650
267	0.594	1.14624	650
268	0.596	1.14389	650
269	0.598	1.14155	650
270	0.6	1.13922	650
271	0.602	1.13689	650
272	0.604	1.13458	650
273	0.606	1.13228	650
274	0.608	1.12999	650
275	0.61	1.1277	650
276	0.612	1.12543	650
277	0.614	1.12316	650
278	0.616	1.1209	650
279	0.618	1.11866	650
280	0.62	1.11642	650
281	0.622	1.11419	650
282	0.624	1.11197	650
283	0.626	1.10975	650
284	0.628	1.10755	650
285	0.63	1.10536	650
286	0.632	1.10317	650
287	0.634	1.10099	650    (I give number 38 to it, run the simulation in ratpac folder 5)
288	0.636	1.09882	650
289	0.638	1.09666	650
290	0.64	1.09451	650
291	0.642	1.09237	650
292	0.644	1.09023	650
293	0.646	1.08811	650
294	0.648	1.08599	650
295	0.65	1.08388	650
296	0.652	1.08178	650
297	0.654	1.07968	650
298	0.656	1.0776	650
299	0.658	1.07552	650
